vendor_code,vendor_name,city_id,business_line,grade
236mo5,میوه و سبزی بوستان ,1,Fruit Shop,Not Enough Comments
2nlkpn,میوه سرای دستچین,1,Fruit Shop,Not Enough Comments
2o3xxo,میوه چی,1,Fruit Shop,Not Enough Comments
5p38pm,کترینگ صالحی,1,Restaurant,A
5y6wr2,سبزیجات آماده میلاد,1,Fruit Shop,Not Enough Comments
2yml4l,سبزیجات آماده شایلین,1,Fruit Shop,Not Enough Comments
2r693m,سبزیجات آماده مامان,1,Fruit Shop,Not Enough Comments
2zrp92,گلچین ,1,Restaurant,A
2gx16w,عمو سبزی فروش,1,Fruit Shop,Not Enough Comments
21wgm2,سوپر میوه دستچین ,1,Fruit Shop,Not Enough Comments
5r919g,کبابی محفل,1,Restaurant,A
59zrr2,شهرما,1,Meat Shop,Not Enough Comments
2mmopk,ارغوان,1,Meat Shop,Not Enough Comments
5r6nr8,پروتئین رضایی ,1,Meat Shop,Not Enough Comments
5x71zm,پروتیین خطایی,1,Meat Shop,Not Enough Comments
2w38po,پروتئین نمونه,1,Meat Shop,Not Enough Comments
51yy97,پروتئین کاکتوس,1,Meat Shop,Not Enough Comments
2myyrp,ویان پروتئین ,1,Meat Shop,Not Enough Comments
5zl193,آریا,1,Meat Shop,Not Enough Comments
5wz3r2,پروتئین صدف,1,Meat Shop,Not Enough Comments
59rk12,پروتئین سادات ,1,Meat Shop,Not Enough Comments
2nlxw1,بهکام پروتئین ,1,Meat Shop,Not Enough Comments
26m1m5,خانه پروتئین,1,Meat Shop,Not Enough Comments
2lwo7g,پروتئین جردن,1,Meat Shop,Not Enough Comments
5p11x2,پروتئین نیک,1,Meat Shop,Not Enough Comments
2z4w92,حلیم نیشابوری و صبحانه سحرخیز,1,Restaurant,A
57rx62,فروشگاه اول پروتئین,1,Meat Shop,Not Enough Comments
5z6735,شهر پروتئین,1,Meat Shop,Not Enough Comments
2wk8x2,پروتئین پاکان,1,Meat Shop,Not Enough Comments
21yxwx,یاسمن گوشت,1,Meat Shop,Not Enough Comments
5r9gm6,پروتئین برتر,1,Meat Shop,Not Enough Comments
21ykk3,گوشت سید,1,Meat Shop,Not Enough Comments
5yo39o,پروتئین جواد,1,Meat Shop,Not Enough Comments
59xg99,چیکا,1,Restaurant,A
5zlgow,باگت پیچ,1,Restaurant,A
5ox3pl,پروتئین خوشمزه,1,Meat Shop,Not Enough Comments
2nn4k2,هایپر گوشت بهشت,1,Meat Shop,Not Enough Comments
5rwz12,فست فود بلوط,1,Restaurant,A
5xggnz,فست فود رمانو پلاس,1,Restaurant,A
5rro95,پروتئین شوکا,1,Meat Shop,Not Enough Comments
5m6l12,اول پروتئین,1,Meat Shop,Not Enough Comments
5gxxyk,پروتئین بلوط,1,Meat Shop,Not Enough Comments
2plmx2,پروتئین هنگام ,1,Meat Shop,Not Enough Comments
2mmywm,فروشگاه گوشت کیان,1,Meat Shop,Not Enough Comments
269myn,آقای پروتئین,1,Meat Shop,Not Enough Comments
27m41g,نانوایی تیسفون,2,Bakery,A
2m41g5,پروتئین فرزاد,1,Meat Shop,Not Enough Comments
2mmzg8,نانوایی لواش اسلامی,2,Bakery,A
5ypk82,پروتئین پدر پسر,1,Meat Shop,Not Enough Comments
5zl441,پروتئین 202,1,Meat Shop,Not Enough Comments
5g79kn,فراگوشت حاج محمد ,1,Meat Shop,Not Enough Comments
2k3l83,پروتئین کاکاتوس,1,Meat Shop,Not Enough Comments
27mkw3,نانوایی لواش تک (نان لواش هاشمی),2,Bakery,A
29nly9,بهار پروتئین ,1,Meat Shop,Not Enough Comments
5w13gx,کیک و شیرینی بارن ,1,Pastry,Not Enough Comments
569yl6,خاتم,1,Pastry,Not Enough Comments
51yyx4,شیرینی گل نرگس,1,Pastry,Not Enough Comments
5lwr3k,کیک و شیرینی تینا,1,Pastry,Not Enough Comments
2oxx9k,کیک و شیرینی لیندا,1,Pastry,Not Enough Comments
2z44mx,بستنی و شیرینی یزدان‌پناه ,1,Pastry,Not Enough Comments
21yo9o,نان شیرینی حمید,1,Pastry,Not Enough Comments
247mx4,ایپک,1,Pastry,Not Enough Comments
2nl88p,کیک و شیرینی طوس,1,Pastry,Not Enough Comments
5r6xl8,خانه شیرینی النا,1,Pastry,Not Enough Comments
2my66g,نان و شیرینی زرگر,1,Pastry,Not Enough Comments
5zkxm4,نان زرین ,2,Bakery,A
57mk83,نانوایی بربری موسوی,2,Bakery,A
2o3lp9,بیکری بنفشه,1,Pastry,Not Enough Comments
58p68r,شیرینی سرای شیرین عسل توس,1,Pastry,Not Enough Comments
531mlm,باقلوا خوشمزه,1,Pastry,Not Enough Comments
